State	Time	Clk	Reset	Q
0	0	0	1	xxxxx
0	0	0	1	00100
1	5	1	1	00100
1	10	0	0	00100
1	15	1	0	00100
1	15	1	0	01000
2	25	1	0	01000
2	25	1	0	10000
3	35	1	0	10000
3	35	1	0	00001
4	45	1	0	00001
4	45	1	0	00010
5	55	1	0	00010
5	55	1	0	00101
6	65	1	0	00101
6	65	1	0	01010
7	75	1	0	01010
7	75	1	0	10101
8	85	1	0	10101
8	85	1	0	01011
9	95	1	0	01011
9	95	1	0	10111
10	105	1	0	10111
10	105	1	0	01110
11	115	1	0	01110
11	115	1	0	11101
12	125	1	0	11101
12	125	1	0	11011
13	135	1	0	11011
13	135	1	0	10110
14	145	1	0	10110
14	145	1	0	01100
15	155	1	0	01100
15	155	1	0	11000
16	165	1	0	11000
16	165	1	0	10001
17	175	1	0	10001
17	175	1	0	00011
18	185	1	0	00011
18	185	1	0	00111
19	195	1	0	00111
19	195	1	0	01111
20	205	1	0	01111
20	205	1	0	11111
21	215	1	0	11111
21	215	1	0	11110
22	225	1	0	11110
22	225	1	0	11100
23	235	1	0	11100
23	235	1	0	11001
24	245	1	0	11001
24	245	1	0	10011
25	255	1	0	10011
25	255	1	0	00110
26	265	1	0	00110
26	265	1	0	01101
27	275	1	0	01101
27	275	1	0	11010
28	285	1	0	11010
28	285	1	0	10100
29	295	1	0	10100
29	295	1	0	01001
30	305	1	0	01001
30	305	1	0	10010
31	315	1	0	10010
31	315	1	0	00100
0	325	1	0	00100
Success: LFSR returned to initial state 00100 at time               325000
0	325	1	0	01000
1	335	1	0	01000
1	335	1	0	10000
2	345	1	0	10000
2	345	1	0	00001
3	355	1	0	00001
3	355	1	0	00010
4	365	1	0	00010
4	365	1	0	00101
5	375	1	0	00101
5	375	1	0	01010
6	385	1	0	01010
